ID;telephone;phoneRAI;website;Response;Comments;email_1;sector;company 200403 15:02
DE053446W;+49 6181 77077;;www.denecke-gvfrischdienst.de;;;g.denecke@t-online.de;DST;GERHARD DENECKE MOLKEREIERZEUGNISSE GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG
DE054155W;+49 9971 2348;;www.impex-kiefl.de;;;g.kiefl@t-online.de;DST;GOTTFRIED KIEFL IMPORT-EXPORT GMBH
DE071910W;+49 40 2270909;;www.tk-scampi.de;;;g.maretzky@tk-scampi.de;DST;TK-SCAMPI GUENTHER MARETZKY
DE053026W;;;;;;g.s.sommer@t-online.de;DST;G.S. SOMMER GESELLSCHAFT FUER IMPORT & EXPORT MBH
DE047846W;+49 211 552711;;www.saitta.de;;;g.saitta@saitta.de;DST;CONTEVINI GMBH
DE053051W;+49 7134 5169084;;www.gaco-loy.de;;;gacoloy@aol.com;ICT;GACO LOY GMBH
DE053085W;+49 5184 950637;;www.galuna.de;;;galuna@galuna.de;DST;GALUNA GMBH
DE052943W;+49 421 3475656;;www.gu-aaa.com;;;gandu@gu-aaa.com;DST;G & U INTERNATIONAL GMBH
DE053117W;+49 231 731250;;;;;gao@gaoli.de;DST;GAOLI IMPORT EXPORT GMBH
DE073154W;+49 9221 8780930;;www.tanriverdi.com;;;gardinen@verdi-collection.de;DST;VERDI COLLECTION GMBH
DE053187F;+49 911 42465 0;;;;;gauff-nue@gauff.net;PST;GAUFF GMBH & CO. ENGINEERING KG
DE074243W;+49 4183 778163;;www.whitepool.de;;;gcontu@whitepool.de;DST;WHITEPOOL GMBH
DE064698E;+49 2246 4612 0;;;;;gdpr@walterscheid.com;DST;OFF-HIGHWAY POWERTRAIN SERVICES GERMANY GMBH
DE046443W;+49 4298 937510;;;;;geb@gebuchholz.de;DST;BUCHHOLZ GMBH
DE059737W;+49 4202 7701;;www.machine-trade.de;;;gebrauchtmaschinen@t-online.de;DST;KRAUSE MASCHINENHANDELS- & SERVICE GMBH
DE062420F;+49 6151 3599499;;;;;gecustomerservice@millipore.com;DST;MERCK CHEMICALS GMBH
DE053250E;+49 2233 6010;;;;;geithuerthinfo@ge.com;DST;GE SENSING & INSPECTION TECHNOLOGIES GMBH
DE053325W;+49 4141 3926;;;;;gelstar@t-online.de;DST;GEL-STAR IMPORT-EXPORT GMBH
DE044902W;+49 30 2522430;;;;;gemuesebauer1@aol.com;DST;BAUER KRAEUTER GROSSHANDEL GMBH
DE001222K;49 8060;;http://www.de.tuv.com;;;genau.richtig@de.tuv.com;PST;TÜV Rheinland AG
DE063903W;+49 40 611833 0;;www.nelsons.net;;;generalemails@nelsons.net;DST;NELSONS GMBH
DE053367W;+49 35602 22439;;;;;genilkemotorcycles@googlemail.com;DST;GENILKE UG (HAFTUNGSBESCHRAENKT)
DE002243K;49 236250;;http://www.bureauveritas.de;;;ger_hbr@de.bureauveritas.com;PST;Bureau Veritas S.A. Zweigniederlassung Hamburg
DE054626W;+49 2433 4587570;;;;;gerd.jaeger@gwv-heinsberg.de;PST;GWV GESELLSCHAFT FUER WERBUNG UND VERTRIEB MBH
DE053449W;+49 6187 909883;;gerhard-schmidt-gmbh.de;;;gerhardschmidtgmbh@t-online.de;DST;GERHARD SCHMIDT GMBH
DE053457W;+49 157 59471742;;;;;gerikegmbh@web.de;DST;GERIKE GMBH
DE000094K;49 331236;;;;;Gerimex@aol.com;DST;GERIMEX Außenhandel GmbH
DE053533W;+49 30 3248723;;www.mptservice.de;;;germania@mptservice.de;DST;GERMANIA VERTRIEBS GMBH
DE052514W;;;www.4js.com;;;germany@4js.com;DST;FOUR J'S DEVELOPMENT TOOLS SOFTWARE VERTRIEBS GMBH
DE041672F;+49 211 538217 0;;;;;germany@achilles.com;PST;ACHILLES INFORMATION GMBH
DE042030E;+49 201 80987 100;;;;;germany@aglobis.com;DST;AGLOBIS GMBH
DE045116F;+49 69 13022 0;;;;;germany@bearingpoint.com;PST;BEARINGPOINT GMBH
DE045339F;+49 40 81909 0;;;;;germany@berendsohn.com;DST;BERENDSOHN AKTIENGESELLSCHAFT
DE048167W;+49 40 309767 0;;www.ctc-group.com;;;germany@ctc-goup.com;DST;CURACAO TRADING COMPANY, GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG
DE049230E;+49 211 4185660;;;;;germany@diesel.com;DST;DIESEL DEUTSCHLAND GMBH
DE050880W;+49 69 92042 0;;www.equinix.com;;;germany@eu.equinix.com;ICT;EQUINIX (GERMANY) GMBH
DE051872F;+49 4261 84080;;;;;germany@fasek.com;PST;FASEK ENGINEERING AND PRODUCTION GMBH
DE001279K;49 71189989145;;http://www.gatewaytechnolabs.de;;;germany@gatewaytechnolabs.com;ICT;Gateway TechnoLabs GmbH
DE053229F;+49 421 89676617;;;;;germany@gcp-service.com;PST;GCP-SERVICE INTERNATIONAL LTD. & CO. KG
DE055608W;+49 208 62040;;www.hempel-metals.com;;;germany@hempel-metals.com;DST;HEMPEL SPECIAL METALS GMBH
DE056816W;+49 6175 79791 0;;www.iewc.de;;;germany@iewc.com;DST;IEWC GERMANY GMBH
DE057597E;+49 711 273110;;;;;germany@intertek.com;PST;INTERTEK DEUTSCHLAND GMBH
DE056191F;+49 211 959595 0;;;;;germany@kurvers.com;DST;HORST KUERVERS GMBH
DE060100W;;;www.lafuma.de;;;germany@lafuma.de;DST;LAFUMA GROUP GMBH
DE060164W;+49 173 4360832;;www.landorlogistics.de;;;germany@landorlogistics.com;DST;LANDOR LOGISTICS GMBH
DE060792W;+49 69 719189 37;;www.locknlock.com;;;germany@locknlock.com;DST;LOCK & LOCK GMBH
DE063266W;+49 6155 842900;;www.motovario.de;;;germany@motovario-group.com;DST;MOTOVARIO GMBH
DE003413K;49 74150;----->N:-------;http://www.ndt-ag.de;;03-04-2020 15:02;germany@ndt-global.com;PST;NDT Abwicklungs AG
